id,ordenes,f_primera_compra,f_ultima_compra,precio_total,min_compra,max_compra,prom_compra,categ_0,categ_1,categ_2,categ_3,categ_4
15555,16,1.2915603E9,1.32241074E9,4794.86,123.75,620.35,299.68,628.34,1612.31,192.12,1987.85,374.24
15574,4,1.29130476E9,1.30813926E9,675.64,3.75,349.04,168.91,161.19,205.86,8.4,232.85,67.34
15634,1,1.32197928E9,1.32197928E9,243.55,243.55,243.55,243.55,114.65,57.8,0.0,71.1,0.0
13610,7,1.29881784E9,1.32240828E9,1082.33,108.55,234.12,154.62,229.77,320.52,10.05,481.74,40.25
13192,2,1.30573062E9,1.31523198E9,911.94,447.62,464.32,455.97,289.87,240.75,61.8,284.27,35.25
14157,2,1.29881184E9,1.32178872E9,424.89,155.71,269.18,212.45,195.22,90.89,31.38,39.99,67.41
17686,7,1.29733308E9,1.32284034E9,5739.46,12.64,1592.61,819.92,824.88,1701.0,53.52,2838.51,321.55
13865,4,1.29846264E9,1.31842626E9,501.56,100.82,159.22,125.39,201.34,168.15,13.52,99.8,18.75
16250,2,1.29119754E9,1.30089282E9,389.44,163.3,226.14,194.72,55.5,141.7,33.3,114.15,44.79
14204,1,1.32326508E9,1.32326508E9,150.61,150.61,150.61,150.61,37.67,54.51,15.8,42.63,0.0
17427,1,1.31729574E9,1.31729574E9,100.8,100.8,100.8,100.8,30.0,0.0,0.0,70.8,0.0
15271,15,1.29190242E9,1.32283506E9,2493.34,79.5,354.45,166.22,626.45,628.12,68.35,1037.12,133.3
17714,1,1.29577872E9,1.29577872E9,153.0,153.0,153.0,153.0,15.3,90.0,0.0,47.7,0.0
13282,3,1.30442418E9,1.32188958E9,1132.14,344.7,428.4,377.38,94.08,437.4,0.0,553.26,47.4
16320,2,1.30504146E9,1.3085835E9,1038.46,185.78,852.68,519.23,383.7,299.26,0.0,290.1,65.4
18130,3,1.31852148E9,1.3221456E9,1059.39,289.62,455.91,353.13,114.25,227.08,16.6,599.41,102.05
12394,2,1.30469046E9,1.31797488E9,1272.48,381.08,891.4,636.24,86.84,358.7,0.0,826.94,0.0
15269,1,1.32143592E9,1.32143592E9,408.8,408.8,408.8,408.8,0.0,118.8,0.0,290.0,0.0
16504,1,1.32128388E9,1.32128388E9,465.88,465.88,465.88,465.88,62.98,111.03,44.42,223.81,23.64
13772,3,1.30278426E9,1.32057978E9,1122.63,228.42,454.55,374.21,243.98,249.03,18.8,547.7,63.12
